Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for bsd-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:38:55 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(1709876k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2020-11-19T15:49:14.039-0800: 1.221: [Full GC (Metadata GC Threshold) 2020-11-19T15:49:14.039-0800: 1.221: [Tenured: 0K->11035K(2796224K), 0.0598552 secs] 335559K->11035K(4054528K), [Metaspace: 20159K->20159K(1067008K)], 0.0599574 secs] [Times: user=0.06 sys=0.00, real=0.06 secs] 
2020-11-19T15:49:28.586-0800: 15.769: [GC (Allocation Failure) 2020-11-19T15:49:28.586-0800: 15.769: [DefNew: 1118528K->12471K(1258304K), 0.0265008 secs] 1129563K->23506K(4054528K), 0.0266230 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2020-11-19T15:49:28.854-0800: 16.036: [Full GC (Metadata GC Threshold) 2020-11-19T15:49:28.854-0800: 16.036: [Tenured: 11035K->39967K(2796224K), 0.0740575 secs] 522178K->39967K(4054528K), [Metaspace: 32207K->32207K(1081344K)], 0.0745898 secs] [Times: user=0.15 sys=0.00, real=0.07 secs] 
2020-11-19T15:49:29.885-0800: 17.067: [GC (Allocation Failure) 2020-11-19T15:49:29.885-0800: 17.067: [DefNew: 1118528K->511K(1258304K), 0.0050470 secs] 1158495K->40478K(4054528K), 0.0052012 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T15:49:30.702-0800: 17.885: [GC (Allocation Failure) 2020-11-19T15:49:30.702-0800: 17.885: [DefNew: 1119039K->600K(1258304K), 0.0042561 secs] 1159006K->40567K(4054528K), 0.0044345 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:31.480-0800: 18.663: [GC (Allocation Failure) 2020-11-19T15:49:31.480-0800: 18.663: [DefNew: 1119128K->619K(1258304K), 0.0043580 secs] 1159095K->40587K(4054528K), 0.0045018 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:32.155-0800: 19.337: [GC (Allocation Failure) 2020-11-19T15:49:32.155-0800: 19.338: [DefNew: 1119147K->617K(1258304K), 0.0043266 secs] 1159115K->40585K(4054528K), 0.0044877 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:32.755-0800: 19.938: [GC (Allocation Failure) 2020-11-19T15:49:32.755-0800: 19.938: [DefNew: 1119145K->635K(1258304K), 0.0035777 secs] 1159113K->40602K(4054528K), 0.0037175 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:33.384-0800: 20.566: [GC (Allocation Failure) 2020-11-19T15:49:33.384-0800: 20.566: [DefNew: 1119156K->656K(1258304K), 0.0033096 secs] 1159123K->40624K(4054528K), 0.0034272 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:33.989-0800: 21.171: [GC (Allocation Failure) 2020-11-19T15:49:33.989-0800: 21.172: [DefNew: 1119184K->658K(1258304K), 0.0034108 secs] 1159152K->40626K(4054528K), 0.0035126 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:49:34.577-0800: 21.760: [GC (Allocation Failure) 2020-11-19T15:49:34.577-0800: 21.760: [DefNew: 1119186K->622K(1258304K), 0.0037343 secs] 1159154K->40589K(4054528K), 0.0038904 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-11-19T15:49:35.212-0800: 22.394: [GC (Allocation Failure) 2020-11-19T15:49:35.212-0800: 22.394: [DefNew: 1119150K->641K(1258304K), 0.0036619 secs] 1159117K->40608K(4054528K), 0.0037900 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:35.770-0800: 22.953: [GC (Allocation Failure) 2020-11-19T15:49:35.770-0800: 22.953: [DefNew: 1119169K->617K(1258304K), 0.0029076 secs] 1159136K->40585K(4054528K), 0.0029861 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:36.321-0800: 23.504: [GC (Allocation Failure) 2020-11-19T15:49:36.321-0800: 23.504: [DefNew: 1119145K->622K(1258304K), 0.0030862 secs] 1159113K->40589K(4054528K), 0.0031875 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:36.848-0800: 24.030: [GC (Allocation Failure) 2020-11-19T15:49:36.848-0800: 24.030: [DefNew: 1119150K->593K(1258304K), 0.0034189 secs] 1159117K->40560K(4054528K), 0.0035718 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T15:49:37.413-0800: 24.595: [GC (Allocation Failure) 2020-11-19T15:49:37.413-0800: 24.595: [DefNew: 1119121K->652K(1258304K), 0.0030543 secs] 1159088K->40620K(4054528K), 0.0031479 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:37.992-0800: 25.174: [GC (Allocation Failure) 2020-11-19T15:49:37.992-0800: 25.174: [DefNew: 1119180K->646K(1258304K), 0.0033454 secs] 1159148K->40614K(4054528K), 0.0034253 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:38.535-0800: 25.717: [GC (Allocation Failure) 2020-11-19T15:49:38.535-0800: 25.717: [DefNew: 1119174K->673K(1258304K), 0.0037779 secs] 1159142K->40641K(4054528K), 0.0038732 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:39.080-0800: 26.262: [GC (Allocation Failure) 2020-11-19T15:49:39.080-0800: 26.262: [DefNew: 1119201K->569K(1258304K), 0.0034891 secs] 1159169K->40781K(4054528K), 0.0035688 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:39.596-0800: 26.779: [GC (Allocation Failure) 2020-11-19T15:49:39.596-0800: 26.779: [DefNew: 1119097K->390K(1258304K), 0.0027716 secs] 1159309K->40625K(4054528K), 0.0028922 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:40.173-0800: 27.355: [GC (Allocation Failure) 2020-11-19T15:49:40.173-0800: 27.355: [DefNew: 1118918K->367K(1258304K), 0.0030418 secs] 1159153K->40610K(4054528K), 0.0031843 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:40.739-0800: 27.922: [GC (Allocation Failure) 2020-11-19T15:49:40.739-0800: 27.922: [DefNew: 1118895K->387K(1258304K), 0.0026816 secs] 1159138K->40631K(4054528K), 0.0027544 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:49:41.262-0800: 28.445: [GC (Allocation Failure) 2020-11-19T15:49:41.262-0800: 28.445: [DefNew: 1118915K->380K(1258304K), 0.0030632 secs] 1159159K->40626K(4054528K), 0.0031740 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:41.791-0800: 28.973: [GC (Allocation Failure) 2020-11-19T15:49:41.791-0800: 28.973: [DefNew: 1118908K->334K(1258304K), 0.0030466 secs] 1159154K->40580K(4054528K), 0.0031653 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:42.335-0800: 29.517: [GC (Allocation Failure) 2020-11-19T15:49:42.335-0800: 29.517: [DefNew: 1118862K->409K(1258304K), 0.0030354 secs] 1159108K->40654K(4054528K), 0.0031301 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
