Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for bsd-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:38:55 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(1855996k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:MaxNewSize=1134141440 -XX:MaxTenuringThreshold=6 -XX:NewSize=1134141440 -XX:OldPLABSize=16 -XX:OldSize=2268282880 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2020-11-19T17:12:43.462-0800: 16.242: [GC (CMS Initial Mark) [1 CMS-initial-mark: 0K(3086784K)] 318998K(4083584K), 0.0221624 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2020-11-19T17:12:43.484-0800: 16.264: [CMS-concurrent-mark-start]
2020-11-19T17:12:43.485-0800: 16.265: [CMS-concurrent-mark: 0.000/0.000 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T17:12:43.485-0800: 16.265: [CMS-concurrent-preclean-start]
2020-11-19T17:12:43.488-0800: 16.268: [CMS-concurrent-preclean: 0.003/0.003 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T17:12:43.488-0800: 16.268: [CMS-concurrent-abortable-preclean-start]
 CMS: abort preclean due to time 2020-11-19T17:12:48.547-0800: 21.323: [CMS-concurrent-abortable-preclean: 0.343/5.055 secs] [Times: user=3.27 sys=0.19, real=5.06 secs] 
2020-11-19T17:12:48.547-0800: 21.323: [GC (CMS Final Remark) [YG occupancy: 584834 K (996800 K)]2020-11-19T17:12:48.547-0800: 21.323: [Rescan (parallel) , 0.0310062 secs]2020-11-19T17:12:48.578-0800: 21.354: [weak refs processing, 0.0000370 secs]2020-11-19T17:12:48.578-0800: 21.354: [class unloading, 0.0039978 secs]2020-11-19T17:12:48.582-0800: 21.358: [scrub symbol table, 0.0025698 secs]2020-11-19T17:12:48.585-0800: 21.361: [scrub string table, 0.0003499 secs][1 CMS-remark: 0K(3086784K)] 584834K(4083584K), 0.0390223 secs] [Times: user=0.40 sys=0.00, real=0.04 secs] 
2020-11-19T17:12:48.586-0800: 21.362: [CMS-concurrent-sweep-start]
2020-11-19T17:12:48.586-0800: 21.362: [CMS-concurrent-sweep: 0.000/0.000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T17:12:48.586-0800: 21.362: [CMS-concurrent-reset-start]
2020-11-19T17:12:48.610-0800: 21.386: [CMS-concurrent-reset: 0.024/0.024 secs] [Times: user=0.02 sys=0.01, real=0.03 secs] 
2020-11-19T17:13:12.843-0800: 45.611: [GC (Allocation Failure) 2020-11-19T17:13:12.843-0800: 45.611: [ParNew: 886080K->18008K(996800K), 0.0337598 secs] 886080K->18008K(4083584K), 0.0338844 secs] [Times: user=0.20 sys=0.01, real=0.03 secs] 
2020-11-19T17:13:13.760-0800: 46.528: [GC (Allocation Failure) 2020-11-19T17:13:13.760-0800: 46.528: [ParNew: 904088K->35508K(996800K), 0.0123686 secs] 904088K->35508K(4083584K), 0.0125325 secs] [Times: user=0.10 sys=0.05, real=0.01 secs] 
2020-11-19T17:13:14.544-0800: 47.312: [GC (Allocation Failure) 2020-11-19T17:13:14.544-0800: 47.312: [ParNew: 921588K->50573K(996800K), 0.0108773 secs] 921588K->50573K(4083584K), 0.0110545 secs] [Times: user=0.15 sys=0.02, real=0.01 secs] 
2020-11-19T17:13:15.238-0800: 48.006: [GC (Allocation Failure) 2020-11-19T17:13:15.238-0800: 48.006: [ParNew: 936653K->44480K(996800K), 0.0076553 secs] 936653K->44480K(4083584K), 0.0078067 secs] [Times: user=0.10 sys=0.01, real=0.01 secs] 
2020-11-19T17:13:15.851-0800: 48.619: [GC (Allocation Failure) 2020-11-19T17:13:15.852-0800: 48.619: [ParNew: 930560K->53252K(996800K), 0.0079576 secs] 930560K->53252K(4083584K), 0.0081028 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2020-11-19T17:13:16.405-0800: 49.173: [GC (Allocation Failure) 2020-11-19T17:13:16.405-0800: 49.173: [ParNew: 939332K->42661K(996800K), 0.0084064 secs] 939332K->42661K(4083584K), 0.0085740 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-11-19T17:13:16.884-0800: 49.651: [GC (Allocation Failure) 2020-11-19T17:13:16.884-0800: 49.651: [ParNew: 928741K->44341K(996800K), 0.0469074 secs] 928741K->55206K(4083584K), 0.0470537 secs] [Times: user=0.36 sys=0.04, real=0.05 secs] 
2020-11-19T17:13:17.384-0800: 50.152: [GC (Allocation Failure) 2020-11-19T17:13:17.384-0800: 50.152: [ParNew: 930421K->15494K(996800K), 0.0227300 secs] 941286K->48056K(4083584K), 0.0229117 secs] [Times: user=0.17 sys=0.03, real=0.02 secs] 
2020-11-19T17:13:17.845-0800: 50.613: [GC (Allocation Failure) 2020-11-19T17:13:17.845-0800: 50.613: [ParNew: 901574K->3952K(996800K), 0.0052163 secs] 934136K->36542K(4083584K), 0.0053293 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2020-11-19T17:13:18.303-0800: 51.070: [GC (Allocation Failure) 2020-11-19T17:13:18.303-0800: 51.070: [ParNew: 890032K->1461K(996800K), 0.0052762 secs] 922622K->34074K(4083584K), 0.0054316 secs] [Times: user=0.08 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:18.754-0800: 51.522: [GC (Allocation Failure) 2020-11-19T17:13:18.754-0800: 51.522: [ParNew: 887541K->1005K(996800K), 0.0055402 secs] 920154K->33621K(4083584K), 0.0056840 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
2020-11-19T17:13:19.214-0800: 51.982: [GC (Allocation Failure) 2020-11-19T17:13:19.214-0800: 51.982: [ParNew: 887085K->1020K(996800K), 0.0052462 secs] 919701K->33642K(4083584K), 0.0053812 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
