Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for bsd-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:38:55 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(769560k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2020-11-19T15:03:40.248-0800: 1.035: [GC (Allocation Failure) [PSYoungGen: 131584K->7141K(153088K)] 131584K->7165K(502784K), 0.0079855 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2020-11-19T15:03:40.485-0800: 1.272: [GC (Metadata GC Threshold) [PSYoungGen: 77513K->8448K(153088K)] 77537K->8488K(502784K), 0.0079406 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2020-11-19T15:03:40.493-0800: 1.280: [Full GC (Metadata GC Threshold) [PSYoungGen: 8448K->0K(153088K)] [ParOldGen: 40K->8149K(349696K)] 8488K->8149K(502784K), [Metaspace: 20145K->20145K(1067008K)], 0.0185928 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-11-19T15:03:41.190-0800: 1.977: [GC (Allocation Failure) [PSYoungGen: 131584K->7296K(153088K)] 139733K->15454K(502784K), 0.0059044 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:03:58.945-0800: 19.732: [GC (Metadata GC Threshold) [PSYoungGen: 122535K->21492K(153088K)] 130693K->40036K(502784K), 0.0142012 secs] [Times: user=0.10 sys=0.05, real=0.01 secs] 
2020-11-19T15:03:58.960-0800: 19.746: [Full GC (Metadata GC Threshold) [PSYoungGen: 21492K->0K(153088K)] [ParOldGen: 18544K->34611K(349696K)] 40036K->34611K(502784K), [Metaspace: 31915K->31334K(1079296K)], 0.0666163 secs] [Times: user=0.48 sys=0.02, real=0.06 secs] 
2020-11-19T15:03:59.289-0800: 20.076: [GC (Allocation Failure) [PSYoungGen: 131584K->896K(132608K)] 166195K->35507K(482304K), 0.0025402 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-11-19T15:03:59.425-0800: 20.212: [GC (Allocation Failure) [PSYoungGen: 132480K->688K(145920K)] 167091K->35299K(495616K), 0.0024799 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T15:03:59.555-0800: 20.342: [GC (Allocation Failure) [PSYoungGen: 117424K->768K(145408K)] 152035K->35379K(495104K), 0.0019798 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T15:03:59.673-0800: 20.460: [GC (Allocation Failure) [PSYoungGen: 117504K->720K(147456K)] 152115K->35331K(497152K), 0.0020098 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:03:59.780-0800: 20.566: [GC (Allocation Failure) [PSYoungGen: 120016K->480K(146432K)] 154627K->35555K(496128K), 0.0019968 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
