Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for bsd-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:38:55 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(827860k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=178958336 -XX:MaxTenuringThreshold=6 -XX:NewSize=178958336 -XX:OldPLABSize=16 -XX:OldSize=357912576 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2020-11-19T15:07:28.107-0800: 1.035: [GC (Allocation Failure) 2020-11-19T15:07:28.107-0800: 1.036: [ParNew: 139776K->7023K(157248K), 0.0107224 secs] 139776K->7023K(506816K), 0.0109514 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:28.783-0800: 1.712: [GC (Allocation Failure) 2020-11-19T15:07:28.783-0800: 1.712: [ParNew: 146799K->12788K(157248K), 0.0133459 secs] 146799K->12788K(506816K), 0.0134410 secs] [Times: user=0.08 sys=0.01, real=0.01 secs] 
2020-11-19T15:07:28.797-0800: 1.726: [GC (CMS Initial Mark) [1 CMS-initial-mark: 0K(349568K)] 15106K(506816K), 0.0032453 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:28.800-0800: 1.729: [CMS-concurrent-mark-start]
2020-11-19T15:07:28.801-0800: 1.729: [CMS-concurrent-mark: 0.000/0.000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:28.801-0800: 1.729: [CMS-concurrent-preclean-start]
2020-11-19T15:07:28.802-0800: 1.730: [CMS-concurrent-preclean: 0.001/0.001 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-11-19T15:07:28.802-0800: 1.730: [CMS-concurrent-abortable-preclean-start]
 CMS: abort preclean due to time 2020-11-19T15:07:33.870-0800: 6.799: [CMS-concurrent-abortable-preclean: 2.280/5.069 secs] [Times: user=3.82 sys=0.08, real=5.07 secs] 
2020-11-19T15:07:33.870-0800: 6.799: [GC (CMS Final Remark) [YG occupancy: 80087 K (157248 K)]2020-11-19T15:07:33.870-0800: 6.799: [Rescan (parallel) , 0.0041811 secs]2020-11-19T15:07:33.875-0800: 6.803: [weak refs processing, 0.0000346 secs]2020-11-19T15:07:33.875-0800: 6.803: [class unloading, 0.0036957 secs]2020-11-19T15:07:33.878-0800: 6.807: [scrub symbol table, 0.0022076 secs]2020-11-19T15:07:33.881-0800: 6.809: [scrub string table, 0.0002697 secs][1 CMS-remark: 0K(349568K)] 80087K(506816K), 0.0114204 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:33.882-0800: 6.810: [CMS-concurrent-sweep-start]
2020-11-19T15:07:33.882-0800: 6.810: [CMS-concurrent-sweep: 0.000/0.000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:33.882-0800: 6.810: [CMS-concurrent-reset-start]
2020-11-19T15:07:33.884-0800: 6.813: [CMS-concurrent-reset: 0.002/0.002 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:42.134-0800: 15.063: [GC (Allocation Failure) 2020-11-19T15:07:42.134-0800: 15.063: [ParNew: 152564K->15310K(157248K), 0.0172153 secs] 152564K->19268K(506816K), 0.0173264 secs] [Times: user=0.07 sys=0.02, real=0.02 secs] 
2020-11-19T15:07:42.547-0800: 15.475: [GC (Allocation Failure) 2020-11-19T15:07:42.547-0800: 15.475: [ParNew: 155086K->17472K(157248K), 0.0169856 secs] 159044K->33026K(506816K), 0.0171752 secs] [Times: user=0.07 sys=0.02, real=0.02 secs] 
2020-11-19T15:07:42.707-0800: 15.635: [GC (Allocation Failure) 2020-11-19T15:07:42.707-0800: 15.635: [ParNew: 157248K->15308K(157248K), 0.0160506 secs] 172802K->48219K(506816K), 0.0161996 secs] [Times: user=0.06 sys=0.02, real=0.02 secs] 
2020-11-19T15:07:42.857-0800: 15.785: [GC (Allocation Failure) 2020-11-19T15:07:42.857-0800: 15.785: [ParNew: 155084K->3848K(157248K), 0.0034285 secs] 187995K->36760K(506816K), 0.0035532 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:42.990-0800: 15.918: [GC (Allocation Failure) 2020-11-19T15:07:42.990-0800: 15.918: [ParNew: 143624K->983K(157248K), 0.0033547 secs] 176536K->33895K(506816K), 0.0034780 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:43.124-0800: 16.052: [GC (Allocation Failure) 2020-11-19T15:07:43.124-0800: 16.053: [ParNew: 140759K->610K(157248K), 0.0034299 secs] 173671K->33522K(506816K), 0.0035711 secs] [Times: user=0.05 sys=0.01, real=0.00 secs] 
2020-11-19T15:07:43.260-0800: 16.189: [GC (Allocation Failure) 2020-11-19T15:07:43.260-0800: 16.189: [ParNew: 140386K->736K(157248K), 0.0041039 secs] 173298K->33648K(506816K), 0.0042788 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:43.392-0800: 16.321: [GC (Allocation Failure) 2020-11-19T15:07:43.392-0800: 16.321: [ParNew: 140512K->736K(157248K), 0.0036936 secs] 173424K->33648K(506816K), 0.0038533 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:43.522-0800: 16.451: [GC (Allocation Failure) 2020-11-19T15:07:43.522-0800: 16.451: [ParNew: 140512K->725K(157248K), 0.0036499 secs] 173424K->33692K(506816K), 0.0038217 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:43.665-0800: 16.593: [GC (Allocation Failure) 2020-11-19T15:07:43.665-0800: 16.593: [ParNew: 140501K->806K(157248K), 0.0037835 secs] 173468K->33778K(506816K), 0.0039127 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:43.805-0800: 16.733: [GC (Allocation Failure) 2020-11-19T15:07:43.805-0800: 16.733: [ParNew: 140582K->589K(157248K), 0.0035328 secs] 173554K->33592K(506816K), 0.0037114 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:43.931-0800: 16.860: [GC (Allocation Failure) 2020-11-19T15:07:43.931-0800: 16.860: [ParNew: 140365K->608K(157248K), 0.0038673 secs] 173368K->33751K(506816K), 0.0040116 secs] [Times: user=0.05 sys=0.01, real=0.00 secs] 
2020-11-19T15:07:44.066-0800: 16.995: [GC (Allocation Failure) 2020-11-19T15:07:44.066-0800: 16.995: [ParNew: 140384K->515K(157248K), 0.0039900 secs] 173527K->33666K(506816K), 0.0041400 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:44.194-0800: 17.123: [GC (Allocation Failure) 2020-11-19T15:07:44.194-0800: 17.123: [ParNew: 140291K->520K(157248K), 0.0036146 secs] 173442K->33677K(506816K), 0.0037853 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:44.321-0800: 17.249: [GC (Allocation Failure) 2020-11-19T15:07:44.321-0800: 17.250: [ParNew: 140296K->529K(157248K), 0.0035397 secs] 173453K->33693K(506816K), 0.0036426 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:44.441-0800: 17.370: [GC (Allocation Failure) 2020-11-19T15:07:44.442-0800: 17.370: [ParNew: 140305K->441K(157248K), 0.0050713 secs] 173469K->33625K(506816K), 0.0053006 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:44.584-0800: 17.512: [GC (Allocation Failure) 2020-11-19T15:07:44.584-0800: 17.512: [ParNew: 140217K->568K(157248K), 0.0039827 secs] 173401K->33755K(506816K), 0.0041504 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:44.695-0800: 17.624: [GC (Allocation Failure) 2020-11-19T15:07:44.695-0800: 17.624: [ParNew: 140344K->559K(157248K), 0.0041583 secs] 173531K->33752K(506816K), 0.0042805 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:44.812-0800: 17.741: [GC (Allocation Failure) 2020-11-19T15:07:44.812-0800: 17.741: [ParNew: 140335K->534K(157248K), 0.0042207 secs] 173528K->33732K(506816K), 0.0043651 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:44.921-0800: 17.850: [GC (Allocation Failure) 2020-11-19T15:07:44.921-0800: 17.850: [ParNew: 140310K->545K(157248K), 0.0038064 secs] 173508K->33748K(506816K), 0.0039108 secs] [Times: user=0.05 sys=0.01, real=0.00 secs] 
