Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for bsd-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:38:55 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(68236k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2020-11-19T14:55:47.033-0800: 1.192: [GC (Allocation Failure) 2020-11-19T14:55:47.034-0800: 1.192: [DefNew: 139776K->6963K(157248K), 0.0182587 secs] 139776K->6963K(506816K), 0.0183598 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2020-11-19T14:55:47.314-0800: 1.473: [Full GC (Metadata GC Threshold) 2020-11-19T14:55:47.314-0800: 1.473: [Tenured: 0K->8089K(349568K), 0.0396197 secs] 73863K->8089K(506816K), [Metaspace: 20152K->20152K(1067008K)], 0.0397213 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2020-11-19T14:55:48.218-0800: 2.376: [GC (Allocation Failure) 2020-11-19T14:55:48.218-0800: 2.377: [DefNew: 139776K->7467K(157248K), 0.0196790 secs] 147865K->15557K(506816K), 0.0197503 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2020-11-19T14:56:43.508-0800: 57.665: [Full GC (Metadata GC Threshold) 2020-11-19T14:56:43.508-0800: 57.665: [Tenured: 8089K->37483K(349568K), 0.0852415 secs] 133628K->37483K(506816K), [Metaspace: 32115K->32115K(1081344K)], 0.0859291 secs] [Times: user=0.18 sys=0.01, real=0.09 secs] 
2020-11-19T14:56:43.792-0800: 57.950: [GC (Allocation Failure) 2020-11-19T14:56:43.793-0800: 57.950: [DefNew: 139776K->244K(157248K), 0.0051196 secs] 177259K->37727K(506816K), 0.0052292 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:43.973-0800: 58.131: [GC (Allocation Failure) 2020-11-19T14:56:43.973-0800: 58.131: [DefNew: 140020K->551K(157248K), 0.0093036 secs] 177503K->38034K(506816K), 0.0094440 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:44.157-0800: 58.315: [GC (Allocation Failure) 2020-11-19T14:56:44.157-0800: 58.315: [DefNew: 140327K->369K(157248K), 0.0060001 secs] 177810K->37853K(506816K), 0.0064084 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:44.323-0800: 58.481: [GC (Allocation Failure) 2020-11-19T14:56:44.324-0800: 58.481: [DefNew: 140145K->430K(157248K), 0.0034316 secs] 177629K->37913K(506816K), 0.0035389 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:44.460-0800: 58.617: [GC (Allocation Failure) 2020-11-19T14:56:44.460-0800: 58.617: [DefNew: 140206K->481K(157248K), 0.0035338 secs] 177689K->37965K(506816K), 0.0037444 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:44.582-0800: 58.739: [GC (Allocation Failure) 2020-11-19T14:56:44.582-0800: 58.739: [DefNew: 140257K->624K(157248K), 0.0034850 secs] 177741K->38108K(506816K), 0.0036128 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:44.708-0800: 58.866: [GC (Allocation Failure) 2020-11-19T14:56:44.708-0800: 58.866: [DefNew: 140400K->634K(157248K), 0.0036917 secs] 177884K->38117K(506816K), 0.0038255 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:44.835-0800: 58.993: [GC (Allocation Failure) 2020-11-19T14:56:44.835-0800: 58.993: [DefNew: 140410K->642K(157248K), 0.0037249 secs] 177893K->38125K(506816K), 0.0038601 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:44.956-0800: 59.114: [GC (Allocation Failure) 2020-11-19T14:56:44.956-0800: 59.114: [DefNew: 140418K->671K(157248K), 0.0036285 secs] 177901K->38154K(506816K), 0.0037792 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:45.078-0800: 59.236: [GC (Allocation Failure) 2020-11-19T14:56:45.094-0800: 59.252: [DefNew: 140447K->688K(157248K), 0.0037717 secs] 177930K->38172K(506816K), 0.0196831 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
2020-11-19T14:56:45.235-0800: 59.393: [GC (Allocation Failure) 2020-11-19T14:56:45.235-0800: 59.393: [DefNew: 140464K->693K(157248K), 0.0040514 secs] 177948K->38177K(506816K), 0.0042103 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2020-11-19T14:56:45.353-0800: 59.511: [GC (Allocation Failure) 2020-11-19T14:56:45.353-0800: 59.511: [DefNew: 140469K->742K(157248K), 0.0040389 secs] 177953K->38226K(506816K), 0.0041757 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:45.460-0800: 59.618: [GC (Allocation Failure) 2020-11-19T14:56:45.460-0800: 59.618: [DefNew: 140518K->740K(157248K), 0.0049881 secs] 178002K->38223K(506816K), 0.0051595 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
2020-11-19T14:56:45.571-0800: 59.729: [GC (Allocation Failure) 2020-11-19T14:56:45.571-0800: 59.729: [DefNew: 140516K->742K(157248K), 0.0046086 secs] 177999K->38225K(506816K), 0.0047806 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:45.681-0800: 59.839: [GC (Allocation Failure) 2020-11-19T14:56:45.681-0800: 59.839: [DefNew: 140518K->727K(157248K), 0.0042782 secs] 178001K->38211K(506816K), 0.0044375 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:45.788-0800: 59.945: [GC (Allocation Failure) 2020-11-19T14:56:45.788-0800: 59.945: [DefNew: 140503K->624K(157248K), 0.0044261 secs] 177987K->38221K(506816K), 0.0045914 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2020-11-19T14:56:45.903-0800: 60.060: [GC (Allocation Failure) 2020-11-19T14:56:45.903-0800: 60.060: [DefNew: 140400K->495K(157248K), 0.0038692 secs] 177997K->38213K(506816K), 0.0039997 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:46.016-0800: 60.174: [GC (Allocation Failure) 2020-11-19T14:56:46.016-0800: 60.174: [DefNew: 140271K->466K(157248K), 0.0036156 secs] 177989K->38222K(506816K), 0.0037654 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:46.138-0800: 60.295: [GC (Allocation Failure) 2020-11-19T14:56:46.138-0800: 60.295: [DefNew: 140242K->418K(157248K), 0.0036918 secs] 177998K->38212K(506816K), 0.0038184 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:46.243-0800: 60.400: [GC (Allocation Failure) 2020-11-19T14:56:46.243-0800: 60.400: [DefNew: 140194K->403K(157248K), 0.0035028 secs] 177988K->38229K(506816K), 0.0036439 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:46.333-0800: 60.490: [GC (Allocation Failure) 2020-11-19T14:56:46.333-0800: 60.490: [DefNew: 140179K->359K(157248K), 0.0030609 secs] 178005K->38213K(506816K), 0.0031562 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:46.441-0800: 60.598: [GC (Allocation Failure) 2020-11-19T14:56:46.441-0800: 60.598: [DefNew: 140135K->351K(157248K), 0.0034131 secs] 177989K->38212K(506816K), 0.0035499 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:46.549-0800: 60.707: [GC (Allocation Failure) 2020-11-19T14:56:46.549-0800: 60.707: [DefNew: 140127K->364K(157248K), 0.0036651 secs] 177988K->38229K(506816K), 0.0037988 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:46.639-0800: 60.796: [GC (Allocation Failure) 2020-11-19T14:56:46.639-0800: 60.796: [DefNew: 140140K->359K(157248K), 0.0033183 secs] 178005K->38231K(506816K), 0.0034888 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
